主旨,開始日期,星期,開始時間,結束日期,結束時間,全天,提醒開啟關閉,提醒日期,提醒時間,會議召集人,出席者,列席者,會議資源,地點,私人,津貼,帳目資訊,敏感度,描述,優先順序,類別,顯示時間為,說明
PBL-Meta01-III,11/3/2023,五,14:20,11/3/2023,15:10,FALSE,FALSE,11/11/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
一對一訪談,11/3/2023,五,15:30,11/3/2023,16:20,FALSE,FALSE,11/11/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Endocrinology]:Meta_lec_28, PBL-Meta01-Case Wrapup,沈宜靜",11/6/2023,一,13:20,11/6/2023,14:10,FALSE,FALSE,11/14/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,沈宜靜
"[PAS]:PAS_08, 醫療與社會(A時段),-",11/7/2023,二,8:00,11/7/2023,8:50,FALSE,FALSE,11/15/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[PAS]:PAS_08, 醫療與社會(A時段),-",11/7/2023,二,9:00,11/7/2023,9:50,FALSE,FALSE,11/15/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[Pathology&Laboratory]:Meta_lec_38, 病理學及病理學實驗期中考,病理學助教",11/7/2023,二,13:20,11/7/2023,14:10,FALSE,FALSE,11/15/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,病理學助教
"[Pathology&Laboratory]:Meta_lec_39, 病理學及病理學實驗期中考,病理學助教",11/7/2023,二,14:20,11/7/2023,15:10,FALSE,FALSE,11/15/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,病理學助教
"[PAS]:PAS_10, 醫療與社會(B時段),-",11/8/2023,三,13:20,11/8/2023,14:10,FALSE,FALSE,11/16/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[PAS]:PAS_10, 醫療與社會(B時段),-",11/8/2023,三,14:20,11/8/2023,15:10,FALSE,FALSE,11/16/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[Pharmacology]:GI_lec_11,  Pancreatic Hormones & Antidiabetic Drugs (1),嚴錦城",11/8/2023,三,15:30,11/8/2023,16:20,FALSE,FALSE,11/16/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,嚴錦城
"[Pharmacology]:GI_lec_22, Pancreatic Hormones & Antidiabetic Drugs (2),嚴錦城",11/8/2023,三,16:30,11/8/2023,17:20,FALSE,FALSE,11/16/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,嚴錦城
"[Gastroenterology]:GI_lec_01, Approach to the patient with GI and liver diseases,黃惠君",11/9/2023,四,9:00,11/9/2023,9:50,FALSE,FALSE,11/17/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃惠君
"[Radiotherapy]:GI_lec_24, Radiotherapy for GI tract cancer,王令瑋",11/9/2023,四,10:10,11/9/2023,11:00,FALSE,FALSE,11/17/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王令瑋
"[Imaging Diagnosis]:GI_lec_36, Introduction to GI diagnosis,邱乃祈",11/9/2023,四,11:10,11/9/2023,12:00,FALSE,FALSE,11/17/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,邱乃祈
"[Gastroenterology]:GI_lec_02, Disease of esophagus,盧俊良",11/9/2023,四,13:20,11/9/2023,14:10,FALSE,FALSE,11/17/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,盧俊良
"[Gastroenterology]:GI_lec_03, Surgery of esophageal cancer,許瀚水",11/9/2023,四,14:20,11/9/2023,15:10,FALSE,FALSE,11/17/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,許瀚水
"[Imaging Diagnosis]:GI_lec_12, Diagnostic radiology in GI diseases (1),邱乃祈",11/10/2023,五,8:00,11/10/2023,8:50,FALSE,FALSE,11/18/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,邱乃祈
"[Imaging Diagnosis]:GI_lec_13, Diagnostic radiology in GI diseases (2),邱乃祈",11/10/2023,五,9:00,11/10/2023,9:50,FALSE,FALSE,11/18/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,邱乃祈
"[Gastroenterology]:GI_lec_04, Peptic ulcer disease and related disorders,羅景全",11/10/2023,五,10:10,11/10/2023,11:00,FALSE,FALSE,11/18/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,羅景全
"[Gastroenterology]:GI_lec_06, Surgery of stomach and duodenum,方文良",11/10/2023,五,11:10,11/10/2023,12:00,FALSE,FALSE,11/18/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,方文良
"[Gastroenterology]:GI_lec_23, Disorder of absorption,李沛璋",11/10/2023,五,13:20,11/10/2023,14:10,FALSE,FALSE,11/18/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李沛璋
"[Gastroenterology]:GI_lec_10, Irritable bowel syndrome and inflammatory bowel disease,王彥博",11/10/2023,五,14:20,11/10/2023,15:10,FALSE,FALSE,11/18/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王彥博
"[Gastroenterology]:GI_lec_27, SKILL-消化系統臨床技巧,李癸汌",11/10/2023,五,15:30,11/10/2023,16:20,FALSE,FALSE,11/18/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李癸汌
"[Gastroenterology]:GI_lec_16, Surgery of liver, intestine, and acute abdomen,周書正",11/13/2023,一,8:00,11/13/2023,8:50,FALSE,FALSE,11/21/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,周書正
"[Gastroenterology]:GI_lec_17, Evaluation of liver function and hyperbilirubinemia,謝昀蓁",11/13/2023,一,9:00,11/13/2023,9:50,FALSE,FALSE,11/21/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,謝昀蓁
"[Pharmacology]:GI_lec_05, Agents for control of gastric acidity, peptic ulcers and gastroesophageal reflux disease,駱雨利",11/13/2023,一,10:10,11/13/2023,11:00,FALSE,FALSE,11/21/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,駱雨利
"[Pharmacology]:GI_lec_25, Drugs for the dissolution of gallstones, pancreatic enzymes, drugs that modify appetite,駱雨利",11/13/2023,一,11:10,11/13/2023,12:00,FALSE,FALSE,11/21/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,駱雨利
PBL-GI01-I,11/13/2023,一,13:20,11/13/2023,14:10,FALSE,FALSE,11/21/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-GI01-I,11/13/2023,一,14:20,11/13/2023,15:10,FALSE,FALSE,11/21/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Pathology&Laboratory]:GI_lec_56, The head and neck (oral cavity, salivary gland, ear and neck, jaw bone),郭盈汝",11/14/2023,二,13:20,11/14/2023,14:10,FALSE,FALSE,11/22/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Pathology&Laboratory]:GI_lec_57, The head and neck (oral cavity, salivary gland, ear and neck, jaw bone),郭盈汝",11/14/2023,二,14:20,11/14/2023,15:10,FALSE,FALSE,11/22/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Pathology&Laboratory]:GI_lec_58, The head and neck (oral cavity, salivary gland, ear and neck, jaw bone),郭盈汝",11/14/2023,二,15:30,11/14/2023,16:20,FALSE,FALSE,11/22/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Pathology&Laboratory]:GI_lec_59, The head and neck (oral cavity, salivary gland, ear and neck, jaw bone),郭盈汝",11/14/2023,二,16:30,11/14/2023,17:20,FALSE,FALSE,11/22/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Endocrinology]:Meta_lec_26, 內分泌學區段考試,李佳霖",11/15/2023,三,10:10,11/15/2023,11:00,FALSE,FALSE,11/23/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李佳霖
"[Endocrinology]:Meta_lec_27, 內分泌學區段考試,李佳霖",11/15/2023,三,11:10,11/15/2023,12:00,FALSE,FALSE,11/23/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李佳霖
"[PAS]:PAS_11, 醫療與社會(B時段),-",11/15/2023,三,13:20,11/15/2023,14:10,FALSE,FALSE,11/23/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[PAS]:PAS_11, 醫療與社會(B時段),-",11/15/2023,三,14:20,11/15/2023,15:10,FALSE,FALSE,11/23/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[Gastroenterology]:GI_lec_09, Acute viral hepatitis and chronic hepatitis,黃怡翔",11/15/2023,三,15:30,11/15/2023,16:20,FALSE,FALSE,11/23/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃怡翔
"[Gastroenterology]:GI_lec_15, Toxic & drug, genetic & metabolic, alcoholic and non-alcoholic fatty liver diseases,蘇建維",11/15/2023,三,16:30,11/15/2023,17:20,FALSE,FALSE,11/23/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,蘇建維
"[Gastroenterology]:GI_lec_21, Liver cirrhosis and its complications,李癸汌",11/16/2023,四,9:00,11/16/2023,9:50,FALSE,FALSE,11/24/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李癸汌
"[Gastroenterology]:GI_lec_26, Benign and malignant liver tumors,李懿宬",11/16/2023,四,10:10,11/16/2023,11:00,FALSE,FALSE,11/24/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李懿宬
"[Imaging Diagnosis]:GI_lec_19, Interventional radiology (body),柳建安",11/16/2023,四,11:10,11/16/2023,12:00,FALSE,FALSE,11/24/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,柳建安
基礎臨床技能訓練課程,11/16/2023,四,13:20,11/16/2023,14:10,FALSE,FALSE,11/24/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
基礎臨床技能訓練課程,11/16/2023,四,14:20,11/16/2023,15:10,FALSE,FALSE,11/24/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
基礎臨床技能訓練課程,11/16/2023,四,15:30,11/16/2023,16:20,FALSE,FALSE,11/24/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
基礎臨床技能訓練課程,11/16/2023,四,16:30,11/16/2023,17:20,FALSE,FALSE,11/24/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Gastroenterology]:GI_lec_14, GI tract neoplasms (other than liver tumor),李重賓",11/17/2023,五,9:00,11/17/2023,9:50,FALSE,FALSE,11/25/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李重賓
"[Gastroenterology]:GI_lec_20, Biliary and pancreatic diseases (including surgery),王心儀",11/17/2023,五,10:10,11/17/2023,11:00,FALSE,FALSE,11/25/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王心儀
"[Introduction to Surgery]:GI_lec_28, 減重手術,方文良",11/17/2023,五,11:10,11/17/2023,12:00,FALSE,FALSE,11/25/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,方文良
PBL-GI01-II,11/17/2023,五,13:20,11/17/2023,14:10,FALSE,FALSE,11/25/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-GI01-II,11/17/2023,五,14:20,11/17/2023,15:10,FALSE,FALSE,11/25/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-GI01-II,11/17/2023,五,15:30,11/17/2023,16:20,FALSE,FALSE,11/25/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Pharmacology]:GI_lec_08, Prokinetic agents, antiemetics, and agents used for diarrhea, constipation, irritable bowel syndrome and inflammatory bowel disease,王湘翠",11/20/2023,一,10:10,11/20/2023,11:00,FALSE,FALSE,11/28/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王湘翠
"[Pharmacology]:GI_lec_18, Pharmacotherapy of hepatic diseases and viral hepatitis,謝昀蓁",11/20/2023,一,11:10,11/20/2023,12:00,FALSE,FALSE,11/28/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,謝昀蓁
PBL-GI01-III,11/20/2023,一,13:20,11/20/2023,14:10,FALSE,FALSE,11/28/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-GI01-III,11/20/2023,一,14:20,11/20/2023,15:10,FALSE,FALSE,11/28/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Gastroenterology]:GI_lec_29, PBL-GI01-Case Wrapup,吳啟榮",11/21/2023,二,11:10,11/21/2023,12:00,FALSE,FALSE,11/29/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,吳啟榮
"[Pathology&Laboratory]:GI_lec_43, Esophargus, stomach duodenum and small intestine,李芬瑤",11/21/2023,二,13:20,11/21/2023,14:10,FALSE,FALSE,11/29/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李芬瑤
"[Pathology&Laboratory]:GI_lec_44, Esophargus, stomach duodenum and small intestine,李芬瑤",11/21/2023,二,14:20,11/21/2023,15:10,FALSE,FALSE,11/29/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李芬瑤
"[Pathology&Laboratory]:GI_lec_52, Appendix, large intestine, anorectum,梁文議",11/21/2023,二,15:30,11/21/2023,16:20,FALSE,FALSE,11/29/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,梁文議
"[Pathology&Laboratory]:GI_lec_53, Appendix, large intestine, anorectum,梁文議",11/21/2023,二,16:30,11/21/2023,17:20,FALSE,FALSE,11/29/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,梁文議
"[Pharmacology]:GI_lec_54, 藥理學期中考,嚴錦城 許馨文",11/22/2023,三,10:10,11/22/2023,11:00,FALSE,FALSE,11/30/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,嚴錦城 許馨文
"[Pharmacology]:GI_lec_55, 藥理學期中考,嚴謹城 許馨文",11/22/2023,三,11:10,11/22/2023,12:00,FALSE,FALSE,11/30/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,嚴謹城 許馨文
"[PAS]:PAS_12, 醫療與社會(B時段),-",11/22/2023,三,13:20,11/22/2023,14:10,FALSE,FALSE,11/30/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[PAS]:PAS_12, 醫療與社會(B時段),-",11/22/2023,三,14:20,11/22/2023,15:10,FALSE,FALSE,11/30/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[Gastroenterology]:GI_lec_32, 消化學區段考試,GI教學總醫師",11/27/2023,一,10:10,11/27/2023,11:00,FALSE,FALSE,12/5/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,GI教學總醫師
"[Gastroenterology]:GI_lec_33, 消化學區段考試,GI教學總醫師",11/27/2023,一,11:10,11/27/2023,12:00,FALSE,FALSE,12/5/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,GI教學總醫師
"[Imaging Diagnosis]:Brain_lec_71, Introduction to neuroradiological diagnosis,凌憬峰",11/27/2023,一,13:20,11/27/2023,14:10,FALSE,FALSE,12/5/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,凌憬峰
"[Imaging Diagnosis]:Brain_lec_47, Imaging study of ischemic stroke/hemorrhagic stroke,凌憬峰",11/27/2023,一,14:20,11/27/2023,15:10,FALSE,FALSE,12/5/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,凌憬峰
"[Pharmacology]:Brain_lec_30, Treatment of central nervous system degenerative disease,葉翰宜",11/27/2023,一,15:30,11/27/2023,16:20,FALSE,FALSE,12/5/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,葉翰宜
"[Neurology]:Brain_lec_06, Approach to the neurological patients,周建成",11/28/2023,二,9:00,11/28/2023,9:50,FALSE,FALSE,12/6/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,周建成
"[Neurology]:Brain_lec_80, Neurological examination (1),王署君",11/28/2023,二,10:10,11/28/2023,11:00,FALSE,FALSE,12/6/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王署君
"[Neurology]:Brain_lec_81, Neurological examination (2),王署君",11/28/2023,二,11:10,11/28/2023,12:00,FALSE,FALSE,12/6/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王署君
"[Pathology&Laboratory]:GI_lec_47, Liver, gallblader, pancreas,郭盈汝",11/28/2023,二,13:20,11/28/2023,14:10,FALSE,FALSE,12/6/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Pathology&Laboratory]:GI_lec_48, Liver, gallblader, pancreas,郭盈汝",11/28/2023,二,14:20,11/28/2023,15:10,FALSE,FALSE,12/6/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Pathology&Laboratory]:GI_lec_49, Liver, gallblader, pancreas,郭盈汝",11/28/2023,二,15:30,11/28/2023,16:20,FALSE,FALSE,12/6/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Pathology&Laboratory]:GI_lec_50, Liver, gallblader, pancreas,郭盈汝",11/28/2023,二,16:30,11/28/2023,17:20,FALSE,FALSE,12/6/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Pharmacology]:Brain_lec_09, Antiseizure drugs (1),王湘翠",11/29/2023,三,8:00,11/29/2023,8:50,FALSE,FALSE,12/7/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王湘翠
"[Pharmacology]:Brain_lec_10, Antiseizure drugs (2),王湘翠",11/29/2023,三,9:00,11/29/2023,9:50,FALSE,FALSE,12/7/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王湘翠
"[Neurology]:Brain_lec_32, General introduction of neurosurgery,鄭宏志",11/29/2023,三,10:10,11/29/2023,11:00,FALSE,FALSE,12/7/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,鄭宏志
"[Neurology]:Brain_lec_36, Disorders of consciousness, coma and brain death,陳俊宇",11/29/2023,三,11:10,11/29/2023,12:00,FALSE,FALSE,12/7/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,陳俊宇
"[PAS]:PAS_13, 醫療與社會(B時段),-",11/29/2023,三,13:20,11/29/2023,14:10,FALSE,FALSE,12/7/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[PAS]:PAS_13, 醫療與社會(B時段),-",11/29/2023,三,14:20,11/29/2023,15:10,FALSE,FALSE,12/7/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[Neurology]:Brain_lec_12, Headache and facial pain disorders,王嚴鋒",11/29/2023,三,15:30,11/29/2023,16:20,FALSE,FALSE,12/7/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王嚴鋒
"[Neurology]:Brain_lec_21, Stroke: Pathophysiology and prevention,紀乃方",11/29/2023,三,16:30,11/29/2023,17:20,FALSE,FALSE,12/7/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,紀乃方
"[Neurology]:Brain_lec_88, Stroke: Diagnosis and management,林浚仁",11/30/2023,四,8:00,11/30/2023,8:50,FALSE,FALSE,12/8/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,林浚仁
"[Neurology]:Brain_lec_15, Surgery for Cerebrovascular diseases,許秉權",11/30/2023,四,9:00,11/30/2023,9:50,FALSE,FALSE,12/8/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,許秉權
"[Neurology]:Brain_lec_31, Traumatic brain and spinal cord injury,楊懷哲",11/30/2023,四,10:10,11/30/2023,11:00,FALSE,FALSE,12/8/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,楊懷哲
"[Rehabilitation Medicine]:Brain_lec_44, Rehabilitation of stroke,李思慧",11/30/2023,四,11:10,11/30/2023,12:00,FALSE,FALSE,12/8/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李思慧
基礎臨床技能訓練課程,11/30/2023,四,13:20,11/30/2023,14:10,FALSE,FALSE,12/8/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
基礎臨床技能訓練課程,11/30/2023,四,14:20,11/30/2023,15:10,FALSE,FALSE,12/8/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
基礎臨床技能訓練課程,11/30/2023,四,15:30,11/30/2023,16:20,FALSE,FALSE,12/8/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
基礎臨床技能訓練課程,11/30/2023,四,16:30,11/30/2023,17:20,FALSE,FALSE,12/8/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Neurology]:Brain_lec_25, Dementia,傅中玲",12/1/2023,五,8:00,12/1/2023,8:50,FALSE,FALSE,12/9/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,傅中玲
"[Neurology]:Brain_lec_37, Parkinson disease and parkinson-plus syndrome,蔣漢琳",12/1/2023,五,9:00,12/1/2023,9:50,FALSE,FALSE,12/9/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,蔣漢琳
"[Neurology]:Brain_lec_05, Epilepsy and seizure disorders,尤香玉",12/1/2023,五,10:10,12/1/2023,11:00,FALSE,FALSE,12/9/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,尤香玉
"[Rehabilitation Medicine]:Brain_lec_45, Rehabilitation of traumatic brain injury,邱然偉",12/1/2023,五,11:10,12/1/2023,12:00,FALSE,FALSE,12/9/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,邱然偉
PBL-NP01-I,12/1/2023,五,13:20,12/1/2023,14:10,FALSE,FALSE,12/9/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-NP01-I,12/1/2023,五,14:20,12/1/2023,15:10,FALSE,FALSE,12/9/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Neurology]:Brain_lec_26, Surgery for brain tumors,顏玉樹",12/4/2023,一,8:00,12/4/2023,8:50,FALSE,FALSE,12/12/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,顏玉樹
"[Neurology]:Brain_lec_90, Functional neurosurgery,劉康渡",12/4/2023,一,9:00,12/4/2023,9:50,FALSE,FALSE,12/12/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,劉康渡
"[Pharmacology]:Brain_lec_41, General anesthetics & local anesthetics (1),鄒樂起",12/4/2023,一,10:10,12/4/2023,11:00,FALSE,FALSE,12/12/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,鄒樂起
"[Pharmacology]:Brain_lec_42, General anesthetics & local anesthetics (2),鄒樂起",12/4/2023,一,11:10,12/4/2023,12:00,FALSE,FALSE,12/12/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,鄒樂起
PBL-NP01-II,12/4/2023,一,13:20,12/4/2023,14:10,FALSE,FALSE,12/12/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-NP01-II,12/4/2023,一,14:20,12/4/2023,15:10,FALSE,FALSE,12/12/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-NP01-II,12/4/2023,一,15:30,12/4/2023,16:20,FALSE,FALSE,12/12/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Neurology]:Brain_lec_16, Technological advances in neurosurgery,李政家",12/5/2023,二,8:00,12/5/2023,8:50,FALSE,FALSE,12/13/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李政家
"[Neurology]:Brain_lec_01, Approch to Peripheral neuropathy,賴冠霖",12/5/2023,二,9:00,12/5/2023,9:50,FALSE,FALSE,12/13/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,賴冠霖
"[Pharmacology]:Brain_lec_53, Sedative-hypnotic drugs (1),黃雅嫻",12/5/2023,二,10:10,12/5/2023,11:00,FALSE,FALSE,12/13/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃雅嫻
"[Pharmacology]:Brain_lec_54, Sedative-hypnotic drugs (2),黃雅嫻",12/5/2023,二,11:10,12/5/2023,12:00,FALSE,FALSE,12/13/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃雅嫻
"[Pathology&Laboratory]:Brain_lec_93, Central nervous system pathology,林士傑",12/5/2023,二,13:20,12/5/2023,14:10,FALSE,FALSE,12/13/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,林士傑
"[Pathology&Laboratory]:Brain_lec_94, Central nervous system pathology,林士傑",12/5/2023,二,14:20,12/5/2023,15:10,FALSE,FALSE,12/13/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,林士傑
"[Pathology&Laboratory]:Brain_lec_95, Central nervous system pathology,林士傑",12/5/2023,二,15:30,12/5/2023,16:20,FALSE,FALSE,12/13/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,林士傑
"[Pathology&Laboratory]:Brain_lec_96, Central nervous system pathology,林士傑",12/5/2023,二,16:30,12/5/2023,17:20,FALSE,FALSE,12/13/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,林士傑
全校運動會(停課),12/6/2023,三,8:00,12/6/2023,8:50,FALSE,FALSE,12/14/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
全校運動會(停課),12/6/2023,三,9:00,12/6/2023,9:50,FALSE,FALSE,12/14/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
